file, edusat, roundingsat
normalized-chnl10_11_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl10_15_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl10_20_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl15_16_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl15_20_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl15_25_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl20_21_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl20_25_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl20_30_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl30_31_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl30_35_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl30_40_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl35_36_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl35_40_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl35_45_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl40_41_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl40_45_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl40_50_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl50_51_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl50_55_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-chnl50_60_pb.cnf.cr.opb, UNSAT, s UNSATISFIABLE
normalized-fpga10_10_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga10_8_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga10_9_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga11_10_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga11_11_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga11_9_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga12_10_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga12_11_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga12_12_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga13_11_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga13_12_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga13_13_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga14_12_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga14_13_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga14_14_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga15_13_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga15_14_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga15_15_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga20_18_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga20_19_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga20_20_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga25_23_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga25_24_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga25_25_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga30_28_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga30_29_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga30_30_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga35_33_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga35_34_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga35_35_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga40_38_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga40_39_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga40_40_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
normalized-fpga45_43_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga45_44_sat_pb.cnf.cr.opb, lord have mercy, s SATISFIABLE
normalized-fpga45_45_sat_pb.cnf.cr.opb, SAT, s SATISFIABLE
